beta,expected_reward,kl
0.05,0.9962667801629924,2.2094323026811447
0.1,0.9680103468969179,1.8361550120747616
0.2,0.8660865352514717,1.1469675410310305
0.35,0.7032941071176257,0.531735908811854
0.5,0.5980766841163765,0.27770401848340487
0.75,0.5053505501300881,0.12346381010813673
1.0,0.4580181421413977,0.06823496195327486
1.5,0.41151811448063713,0.02944669718596106
2.0,0.38891118785674184,0.016251949601742414
